HA_USAGE,topicDistribution_0,topicDistribution_1,topicDistribution_2,topicDistribution_3,topicDistribution_4
511,0.20002816922202712,0.20001837272790204,0.200017319310447,0.20001368715635515,0.1999781765846025
882,0.19998632646792108,0.20002413545069836,0.1999750909008418,0.19997962497512303,0.19998344644710822
781,0.1999902090329584,0.2000358080456144,0.2000164365769431,0.20001174095884314,0.1999995907636146
164,0.19998425040799078,0.1999855675897066,0.2000090017677425,0.19999791928993407,0.19997997409197482
232,0.2000187912519171,0.20001184583001697,0.19999009717010832,0.2000265095138146,0.19997542783597255
207,0.19999737419862554,0.2000314974214045,0.20002420009287258,0.20001346245305265,0.19997886222931183
799,0.19998028758935144,0.20000852199670008,0.2000202190258872,0.1999753517714747,0.1999990899004378
1040,0.20002671214542087,0.20002479979024892,0.20003220493127932,0.20002029060598778,0.2000071119574986
535,0.2000050746807811,0.20001868750912039,0.19997038200234826,0.20002697273505013,0.2000137820004153
581,0.2000317982659225,0.19997918981097446,0.19996374655402005,0.1999942341951244,0.20000843853228306
137,0.1999936794136685,0.20001095664455493,0.20000982040544046,0.19999932160627823,0.20001435781372537
1092,0.1999983503666234,0.19997626804702093,0.20001645502143092,0.2000054063220477,0.20001421945338507
1886,0.19999464579179665,0.1999765548315864,0.20002116436428652,0.2000409470136132,0.20004554015322082
151,0.19998809096155887,0.20000732602399904,0.19999423541784186,0.19999611574012885,0.19997709805504213
171,0.1999927384447345,0.20001655498615678,0.19998306284433912,0.20000874354622564,0.1999868289634265
292,0.20002675056753683,0.19998704749868854,0.19999564460062938,0.199987158991874,0.19997520898236723
88,0.2000125040486616,0.19999357816622848,0.2000118470711042,0.19998884745661308,0.19999879510988106
1650,0.1999898096626743,0.20000789355709891,0.20002187700845794,0.19995590109353417,0.20001478224284214
119,0.19999687445551448,0.19999550957609277,0.19999158738683598,0.1999914364575809,0.19997945221039967
1419,0.20003007359116914,0.20002221485496902,0.19999267841595014,0.20004462286535313,0.2000058515250588
1292,0.2000332936920633,0.20003343581699115,0.19996672010236646,0.20001530329696587,0.2000030854636337
50,0.19999502785900933,0.1999998703186557,0.20001172176146217,0.20000310811331903,0.20000148511540786
1397,0.20000378309850336,0.20000515031569702,0.19999392677505026,0.2000378138116353,0.20001002107508864
118,0.1999820472959479,0.20000447168550003,0.19999564697239522,0.19999254802059785,0.19996904390528134
1235,0.2000418309372166,0.2000437862402785,0.2000156535252812,0.20003641399396696,0.20003049217951893
175,0.20003314341416395,0.19996656720077008,0.20000697932589764,0.20001335485706656,0.1999929608167827
67,0.19999203442764066,0.19998935517498856,0.19998185890131775,0.19999832424399117,0.1999950864850865
242,0.20000946499477132,0.19998607532662244,0.19999102127024632,0.20000435775335845,0.2000200187422023
411,0.19997962551870288,0.2000024534751186,0.2000264930689773,0.19999935902382054,0.20001073338953185
748,0.19997452105870764,0.1999870852889538,0.20000825534383498,0.20001811517865448,0.20001971355188647
57,0.20001527496571755,0.19998940420598796,0.19999073859138994,0.1999888250614292,0.19999709550041703
331,0.19997206039304122,0.20000668747009592,0.20002341548416575,0.20002804906355576,0.20000914180675647
63,0.1999906231142045,0.20000574778059102,0.19999274983874848,0.19999529438951236,0.1999964586872156
44,0.20000712161366999,0.2000107667934541,0.19999567880038122,0.19998538953253406,0.19999798185686452
1568,0.19996404985416788,0.20004101579927078,0.1999835939993647,0.20002072992685713,0.20000994235404873
842,0.19997431610293823,0.20004296154876752,0.199986599811951,0.1999882922907849,0.19997262944329489
1580,0.20001229325367867,0.2000389518273289,0.19995643020083234,0.19999185271180575,0.19998347773188632
451,0.19997502882827026,0.20001224678650395,0.2000148873183586,0.19998373395975497,0.1999989627429071
114,0.2000113731780586,0.1999823942505205,0.19998696606753558,0.20001473801711636,0.1999943385592519
519,0.20001888989256317,0.1999833884927159,0.19998259261646645,0.2000011083145315,0.20000555827534525
817,0.19998660476171728,0.1999964304979611,0.1999896954967418,0.1999707072377403,0.2000258057792099
14,0.2000041424025986,0.1999997012311601,0.1999999967678652,0.20000077985025083,0.19999550425558588
1956,0.20000420523056536,0.2000294959801186,0.19999600112154262,0.20002034340845945,0.20000063588975034
1356,0.199967697474777,0.20003697654653965,0.1999930166314717,0.19997583907310867,0.19999257018244387
622,0.20001254618265882,0.1999946275458574,0.20000173600087018,0.19999456231860943,0.199991951297836
1000,0.20000482351460608,0.19999176758820503,0.19998485006299474,0.20000577139267167,0.1999972095523216
5,0.20000103517452597,0.199999311829283,0.2000005021019289,0.1999995636778296,0.20000006022029754
15,0.20000426319559225,0.20000059138819287,0.2000014822466496,0.19999828885386614,0.19999896772312442
13,0.19999379653185442,0.20000020166590157,0.19999992441831108,0.19999854801305558,0.19999779938424925
585,0.1999660653169852,0.199996499875305,0.19999054074497163,0.19997937836122304,0.1999699845460598
97,0.19999471227200888,0.19999540110393976,0.19998638858205348,0.2000118060022962,0.2000038663870888
