HA_USAGE,topicDistribution_0,topicDistribution_1,topicDistribution_2,topicDistribution_3,topicDistribution_4
622,2.3565858080096104E-4,0.999040900682374,2.4618980557922953E-4,2.3977543673246095E-4,2.3742800874258416E-4
841,1.7434641818374534E-4,0.9992904271680663,1.821376480044691E-4,1.773921718732083E-4,1.756554742366207E-4
80,0.0018175077663443895,0.0019146098629964263,0.0018994046482293699,0.001849264007830289,0.9925197741731314
1071,1.3695741693297425E-4,1.4424554125482076E-4,1.4305029834248394E-4,0.9994378079309887,1.379592454737609E-4
187,7.816721018940521E-4,8.234292167130894E-4,0.9968119660662111,7.953282292844071E-4,0.9967828956507798
355,4.125290161474351E-4,4.347490476061989E-4,4.310826500373786E-4,4.1973584540053345E-4,4.15626504448585E-4
208,0.9971013041078045,7.405908809557431E-4,0.9971326102769021,7.154004640351622E-4,0.9971060290480758
1664,0.9996365105261327,9.286980142215814E-5,9.210689284778713E-5,8.969925211576029E-5,8.881669233421776E-5
2,0.7794583670734921,0.7823177847410857,0.055923352548198996,0.054415880088375224,0.05388176507114707
80,0.0018175075588458952,0.0019146095538914766,0.00189874208993591,0.001849739445024363,0.0018311563426712367
1134,1.2932883294456863E-4,1.362371628354303E-4,0.999472533100395,1.3158813108242207E-4,1.3029987326583246E-4
2,0.05347508806099385,0.056389219763382334,0.05588497194075807,0.05441623614676579,0.05387943661290543
1045,0.9994213572588848,0.9994288715587858,1.4660690497417372E-4,1.427871722669863E-4,1.4141717334691082E-4
278,5.264851387780145E-4,5.548393066752112E-4,5.503200316868895E-4,5.358625584491618E-4,0.9978331734398196
676,2.1685451745887625E-4,2.2843829159568946E-4,2.265453803057128E-4,0.9991096598661765,2.1848275270090552E-4
1494,9.818079626481256E-5,1.0342528719083967E-4,1.0257649844142019E-4,9.989595794856871E-5,9.8917968644347E-5
419,3.496743381031744E-4,3.683058233146171E-4,3.6533843402477244E-4,3.557372580482809E-4,3.5225454376847635E-4
179,8.164622913248293E-4,0.9966769397430308,0.9966698750655448,8.307261599049985E-4,8.225929032056703E-4
250,5.852761930082853E-4,6.16541088417176E-4,6.114320487516657E-4,5.956424655809172E-4,5.897545125171477E-4
186,7.861216723923507E-4,8.278384492171577E-4,8.209784021846073E-4,7.995871917018667E-4,0.9967652915484367
125,0.995187912250385,0.001229888409642394,0.0012192433271106117,0.995207474522925,0.0011759288587024578
793,1.8490513295601796E-4,1.9476590189415458E-4,1.9315202352630824E-4,1.881195663386442E-4,1.8627785874563563E-4
1266,1.1585224457574685E-4,1.2204069295679259E-4,1.2107060178414212E-4,1.1787611568535785E-4,1.1672209778133783E-4
394,3.717720552809331E-4,3.916314032899338E-4,3.883861820495996E-4,3.783710871403332E-4,3.7464437516900614E-4
1035,1.4169051066064678E-4,0.9994233404019642,0.9994220928599592,0.9994182089986626,0.9994167584444046
1061,1.3822079774635169E-4,0.9994374497364853,1.4439761208928485E-4,1.4063544226085244E-4,1.3925860664063122E-4
740,1.9811840181261603E-4,0.999193706194133,2.0709275549264916E-4,2.015794412360501E-4,1.9962403985494478E-4
1517,9.66929585319973E-5,1.0185797105115454E-4,1.0101396020400707E-4,9.838212538855727E-5,9.741896079842592E-5
1503,9.759318107196292E-5,0.999602783117351,1.0195440889262174E-4,9.929807409235498E-5,9.832594224312751E-5
933,1.5716842651242099E-4,1.6556388924134226E-4,0.9993589847319209,1.5991408146275677E-4,1.5835642360969483E-4
431,3.400101437026985E-4,3.5808968594597826E-4,0.9986136014092771,0.9986043061288964,3.424639120924017E-4
132,0.0011055898580229254,0.0011646000506706274,0.9954904994758105,0.9954610307489025,0.0011138412620013813
556,2.636080468230259E-4,2.776755773550352E-4,0.998924903587024,0.9989177394093938,2.655741729602058E-4
1602,9.156494438596234E-5,9.645603297109398E-5,9.565678352173928E-5,9.316452659989792E-5,9.225244261119207E-5
537,2.7290853682608796E-4,0.9988893113001767,2.851313769633433E-4,2.77676148429826E-4,2.74957628973062E-4
997,1.4716284919770892E-4,0.9994014001143353,1.536599506529037E-4,1.496693919631183E-4,1.4826007832782079E-4
560,2.617976860850257E-4,2.757087511504435E-4,2.734103309582225E-4,2.6628674734623667E-4,2.636797394908143E-4
731,2.005912116213428E-4,2.1126822676961895E-4,2.0951760471209414E-4,0.9991765909126863,2.0206097589117917E-4
878,1.6700548189639528E-4,1.7592641271669507E-4,1.7455071323511218E-4,1.6992297796405745E-4,1.682594220487418E-4
136,0.0010732012316211675,0.0011307097861486379,0.0011217622564375345,0.0010919512856499664,0.0010814600326510492
122,0.0011956575958991988,0.0012594798753024572,0.9951235220568746,0.0012164960842731608,0.9950791608839531
707,2.0735605966076874E-4,0.9991561111982281,2.1662246081559017E-4,0.9991486561052454,2.089129792345831E-4
1110,1.3212325440648077E-4,1.3918085776352783E-4,1.3802757546317363E-4,1.3443137765494122E-4,0.9994562051339688
561,2.612487784797789E-4,2.7522513565590614E-4,2.7292360796680185E-4,2.658127151183732E-4,2.632103603317497E-4
427,0.9985853494845982,3.6141745407382276E-4,3.5842261720053336E-4,3.4922700811869395E-4,3.4567720250998303E-4
261,5.606796156086751E-4,5.908351374952534E-4,5.859045853413082E-4,5.704748416423341E-4,5.648895813503992E-4
368,0.998359026709948,4.1924512613048887E-4,4.157710753407375E-4,4.049381882856528E-4,4.00973728519996E-4
4,0.03092940597042148,0.032597240584033946,0.0323166684173746,0.03147160508195159,0.03116334845258443
1458,1.0066026962198267E-4,1.0597769268171638E-4,1.0512730976413897E-4,1.0236872529001708E-4,1.0136191919293122E-4
854,1.7169475240352096E-4,1.8086617284296944E-4,1.793674635980749E-4,0.9992950744882786,1.729838957368888E-4
271,5.400471101802123E-4,5.690705400673285E-4,5.643111473172834E-4,5.494817126720614E-4,5.441021137447518E-4
15,0.009327075800856604,0.9620674197876558,0.009737518055664364,0.9617280198520882,0.9616373140140125
2,0.05347768117464566,0.7823269363556953,0.0558850917544059,0.054419896557278816,0.05387969522773661
512,2.862147662364606E-4,3.015036830622736E-4,0.9988326483510386,0.9988247817775895,2.883649162427273E-4
99,0.001471299524503461,0.0015500004621121183,0.0015370574069961192,0.0014971114055021782,0.0014825189947786346
4,0.8724500369653362,0.0325900062370104,0.03232121809602344,0.03148299546938687,0.031166297377734645
992,1.4782772570487464E-4,1.557731761690606E-4,1.5444348186266618E-4,1.5041020455560031E-4,1.489575891129648E-4
1473,9.960114098466803E-5,1.0492720906155963E-4,1.0402982398776249E-4,1.0132667356918018E-4,1.0032749471382907E-4
1075,0.9994374885645563,1.4371549482435645E-4,1.4255106042536828E-4,1.3880517842977745E-4,1.3744626373256056E-4
692,2.1184594050501754E-4,0.4944871106074672,2.2131298045260098E-4,2.1554678814171828E-4,2.1343656064708275E-4
1137,1.2898781924395425E-4,1.35877929208165E-4,1.3475202350719202E-4,1.3124115991677854E-4,1.2995630361635203E-4
550,2.664666806001876E-4,0.9989155566336454,2.78402583157831E-4,0.998905851111431,2.6846742652951753E-4
919,1.595607810318921E-4,1.680840381321635E-4,1.6669125541634303E-4,1.6235366500978588E-4,1.6075882744612626E-4
692,2.1184594326295567E-4,2.231621553226921E-4,0.9991359388278672,2.1554679050991588E-4,0.9991281198626545
28,0.005105365429520889,0.005378215410626483,0.005333626593698072,0.0051945928630037445,0.4881748834246185
13,0.9559762095232014,0.01124779131561728,0.011155392974571805,0.01086355560123122,0.010757057522727619
438,0.9986208004800934,3.523562059521614E-4,3.4943645269873473E-4,0.9986266940193026,3.370000137480727E-4
